,ENSEMBL_ID,HGNC
620,ENSG00000126001,CEP250
621,ENSG00000182871,COL18A1
622,ENSG00000239264,TXNDC5
623,ENSG00000164825,DEFB1
624,ENSG00000050130,JKAMP
625,ENSG00000164327,RICTOR
626,ENSG00000181315,ZNF322
627,ENSG00000147454,SLC25A37
628,ENSG00000170579,DLGAP1
629,ENSG00000260286,ARMH2
630,ENSG00000134874,DZIP1
631,ENSG00000120875,DUSP4
632,ENSG00000112273,HDGFL1
633,ENSG00000164379,FOXQ1
634,ENSG00000180537,RNF182
635,ENSG00000150051,MKX
636,ENSG00000166140,ZFYVE19
637,ENSG00000104626,ERI1
638,ENSG00000124787,RPP40
639,ENSG00000263761,GDF2
640,ENSG00000177669,MBOAT4
641,ENSG00000126785,RHOJ
642,ENSG00000100393,EP300
643,ENSG00000147459,DOCK5
644,ENSG00000125975,C20orf173
645,ENSG00000136143,SUCLA2
646,ENSG00000169126,ODAD2
647,ENSG00000180008,SOCS4
648,ENSG00000140015,KCNH5
649,ENSG00000124795,DEK
650,ENSG00000100647,SUSD6
651,ENSG00000104081,BMF
652,ENSG00000172404,DNAJB7
653,ENSG00000239839,DEFA3
654,ENSG00000100387,RBX1
655,ENSG00000118939,UCHL3
656,ENSG00000198146,ZNF770
657,ENSG00000104660,LEPROTL1
658,ENSG00000100078,PLA2G3
659,ENSG00000077943,ITGA8
660,ENSG00000100105,PATZ1
661,ENSG00000129521,EGLN3
662,ENSG00000120907,ADRA1A
663,ENSG00000230873,STMND1
664,ENSG00000183844,FAM3B
665,ENSG00000169508,GPR183
666,ENSG00000168461,RAB31
667,ENSG00000283740,TAF11L11
668,ENSG00000174032,SLC25A30
669,ENSG00000182836,PLCXD3
670,ENSG00000133878,DUSP26
671,ENSG00000138944,SHISAL1
672,ENSG00000244462,RBM12
673,ENSG00000112763,BTN2A1
674,ENSG00000148482,SLC39A12
675,ENSG00000196236,XPNPEP3
676,ENSG00000165389,SPTSSA
677,ENSG00000167034,NKX3-1
678,ENSG00000197296,FITM2
679,ENSG00000147416,ATP6V1B2
680,ENSG00000170345,FOS
681,ENSG00000124120,TTPAL
682,ENSG00000137801,THBS1
683,ENSG00000133112,TPT1
684,ENSG00000175985,PLEKHD1
685,ENSG00000154734,ADAMTS1
686,ENSG00000183579,ZNRF3
687,ENSG00000132824,SERINC3
688,ENSG00000021776,AQR
689,ENSG00000176105,YES1
690,ENSG00000119681,LTBP2
691,ENSG00000095951,HIVEP1
692,ENSG00000104756,KCTD9
693,ENSG00000100266,PACSIN2
694,ENSG00000056097,ZFR
695,ENSG00000172671,ZFAND4
696,ENSG00000139826,ABHD13
697,ENSG00000139684,ESD
698,ENSG00000168734,PKIG
699,ENSG00000166974,MAPRE2
700,ENSG00000145990,GFOD1
701,ENSG00000120925,RNF170
702,ENSG00000152954,NRSN1
703,ENSG00000159055,MIS18A
704,ENSG00000102468,HTR2A
705,ENSG00000170262,MRAP
706,ENSG00000159248,GJD2
707,ENSG00000083544,TDRD3
708,ENSG00000008083,JARID2
709,ENSG00000160193,WDR4
710,ENSG00000104044,OCA2
711,ENSG00000134013,LOXL2
712,ENSG00000095777,MYO3A
713,ENSG00000101342,TLDC2
714,ENSG00000197977,ELOVL2
715,ENSG00000133104,SPART
716,ENSG00000132823,OSER1
717,ENSG00000204713,TRIM27
718,ENSG00000149596,JPH2
719,ENSG00000061337,LZTS1
720,ENSG00000177058,SLC38A9
721,ENSG00000165898,ISCA2
722,ENSG00000184661,CDCA2
723,ENSG00000124193,SRSF6
724,ENSG00000140044,JDP2
725,ENSG00000280709,LINC02203
726,ENSG00000197705,KLHL14
727,ENSG00000101052,IFT52
728,ENSG00000128829,EIF2AK4
729,ENSG00000101057,MYBL2
730,ENSG00000042317,SPATA7
731,ENSG00000160194,NDUFV3
732,ENSG00000232040,ZBED9
733,ENSG00000154727,GABPA
734,ENSG00000078401,EDN1
735,ENSG00000104219,ZDHHC2
736,ENSG00000102572,STK24
737,ENSG00000124196,GTSF1L
738,ENSG00000224586,GPX5
739,ENSG00000173335,CST9
740,ENSG00000128276,RFPL3
741,ENSG00000101307,SIRPB1
742,ENSG00000250305,TRMT9B
743,ENSG00000224531,SMIM13
744,ENSG00000148450,MSRB2
745,ENSG00000204703,OR2B3
746,ENSG00000178127,NDUFV2
747,ENSG00000100220,RTCB
748,ENSG00000112183,RBM24
749,ENSG00000159212,CLIC6
750,ENSG00000107105,ELAVL2
751,ENSG00000256574,OR13A1
