,ENSEMBL_ID
1182,ENSG00000090013
1183,ENSG00000090020
1184,ENSG00000090054
1185,ENSG00000090060
1186,ENSG00000090061
1187,ENSG00000090097
1188,ENSG00000090104
1189,ENSG00000090238
1190,ENSG00000090263
1191,ENSG00000090266
1192,ENSG00000090273
1193,ENSG00000090316
1194,ENSG00000090339
1195,ENSG00000090372
1196,ENSG00000090382
1197,ENSG00000090432
1198,ENSG00000090447
1199,ENSG00000090470
1200,ENSG00000090487
1201,ENSG00000090520
1202,ENSG00000090554
1203,ENSG00000090565
1204,ENSG00000090581
1205,ENSG00000090612
1206,ENSG00000090615
1207,ENSG00000090621
1208,ENSG00000090661
1209,ENSG00000090674
1210,ENSG00000090686
1211,ENSG00000090776
1212,ENSG00000090857
1213,ENSG00000090863
1214,ENSG00000090905
1215,ENSG00000090924
1216,ENSG00000090971
1217,ENSG00000090989
1218,ENSG00000091009
1219,ENSG00000091039
1220,ENSG00000091073
1221,ENSG00000091127
1222,ENSG00000091136
1223,ENSG00000091140
1224,ENSG00000091157
1225,ENSG00000091164
1226,ENSG00000091317
1227,ENSG00000091409
1228,ENSG00000091436
1229,ENSG00000091483
1230,ENSG00000091490
1231,ENSG00000091527
1232,ENSG00000091542
1233,ENSG00000091640
1234,ENSG00000091651
1235,ENSG00000091732
1236,ENSG00000091947
1237,ENSG00000091986
1238,ENSG00000092010
1239,ENSG00000092020
1240,ENSG00000092036
1241,ENSG00000092068
1242,ENSG00000092094
